Clock_Time, Current, V_battery, CCF, SoC
2560000,0.500000,3.897368,0.988847,0.819666 
2565000,0.500000,3.897119,0.988847,0.819294 
2570000,0.500000,3.896869,0.988847,0.818921 
2575000,0.500000,3.896620,0.988847,0.818549 
2580000,0.500000,3.896370,0.988847,0.818176 
2585000,0.500000,3.896121,0.988847,0.817804 
2590000,0.500000,3.895872,0.988847,0.817431 
2595000,0.500000,3.895624,0.988846,0.817059 
2600000,0.500000,3.895376,0.988846,0.816686 
2605000,0.500000,3.895127,0.988846,0.816314 
2610000,0.500000,3.894880,0.988846,0.815941 
2615000,0.500000,3.894632,0.988846,0.815569 
2620000,0.500000,3.894384,0.988846,0.815196 
2625000,0.500000,3.894137,0.988846,0.814824 
2630000,0.500000,3.893890,0.988846,0.814451 
2635000,0.500000,3.893642,0.988846,0.814078 
2640000,0.500000,3.893396,0.988846,0.813706 
2645000,0.500000,3.893149,0.988846,0.813333 
2650000,0.500000,3.892902,0.988845,0.812961 
2655000,0.500000,3.892656,0.988845,0.812588 
2660000,0.500000,3.892410,0.988845,0.812216 
2665000,0.500000,3.892164,0.988845,0.811843 
2670000,0.500000,3.891918,0.988845,0.811471 
2675000,0.500000,3.891673,0.988845,0.811098 
2680000,0.500000,3.891428,0.988845,0.810726 
2685000,0.500000,3.891182,0.988845,0.810353 
2690000,0.500000,3.890937,0.988845,0.809981 
2695000,0.500000,3.890692,0.988845,0.809608 
2700000,0.500000,3.890448,0.988845,0.809236 
2705000,0.500000,3.890203,0.988844,0.808863 
2710000,0.500000,3.889959,0.988844,0.808491 
2715000,0.500000,3.889715,0.988844,0.808118 
2720000,0.500000,3.889471,0.988844,0.807745 
2725000,0.500000,3.889227,0.988844,0.807373 
2730000,0.500000,3.888984,0.988844,0.807000 
2735000,0.500000,3.888741,0.988844,0.806628 
2740000,0.500000,3.888497,0.988844,0.806255 
2745000,0.500000,3.888254,0.988844,0.805883 
2750000,0.500000,3.888011,0.988844,0.805510 
2755000,0.500000,3.887769,0.988844,0.805138 
2760000,0.500000,3.887527,0.988843,0.804765 
2765000,0.500000,3.887284,0.988843,0.804393 
2770000,0.500000,3.887042,0.988843,0.804020 
2775000,0.500000,3.886800,0.988843,0.803648 
2780000,0.500000,3.886559,0.988843,0.803275 
2785000,0.500000,3.886317,0.988843,0.802903 
2790000,0.500000,3.886076,0.988843,0.802530 
2795000,0.500000,3.885834,0.988843,0.802158 
2800000,0.500000,3.885593,0.988843,0.801785 
2805000,0.500000,3.885352,0.988843,0.801412 
2810000,0.500000,3.885112,0.988843,0.801040 
